name	symbol	aliases	equivalent_to	description	source	exclude_from_results
joules	J		1 J	The <b>joule</b> is the SI standard measure of energy. It is used by scientists.		
kilojoules	kJ		1000 J	The <b>kilojoule</b> is a thousand joules. The joule is the SI standard measure of energy. It is used by scientists.		
megajoules	MJ		1000 kJ	The <b>megajoule</b> is a million joules. The joule is the SI standard measure of energy. It is used by scientists.		
gigajoules	GJ		1000 MJ	The <b>gigajoule</b> is a billion joules. The joule is the SI standard measure of energy. It is used by scientists.		
terajoules	TJ		1000 GJ	The <b>terajoule</b> is a thousand billion joules. The joule is the SI standard measure of energy. It is used by scientists.		
petajoules	PJ		1000 TJ	The <b>petajoule</b> is a million billion joules. The joule is the SI standard measure of energy. It is used by scientists.		
exajoules	EJ		1000 PJ	The <b>exajoule</b> is a billion billion joules. The joule is the SI standard measure of energy. It is used by scientists.		
tonnes of oil equivalent	toe		41.868 GJ	A <b>tonne of oil equivalent</b> is the energy content of a very specific tonne of oil. It is not the energy content of any particular tonne of oil. It is used by the IEA statistics and the UK Digest of Energy Statistics when counting overall demands and supplies for all types of energy.		
thousands of tonnes of oil equivalent	ktoe		1000 toe	A <b>thousand tonnes of oil equivalent</b> is the energy content of a very specific thousand tonnes of oil. It is not the energy content of any particular tonne of oil. It is used by the IEA statistics and the UK Digest of Energy Statistics when counting overall demands and supplies for all types of energy.		
millions of tonnes of oil equivalent	Mtoe		1E6 toe	A <b>million tonnes of oil equivalent</b> is the energy content of a very specific million tonnes of oil. It is not the energy content of any particular tonne of oil. It is used by the IEA statistics and the UK Digest of Energy Statistics when counting overall demands and supplies for all types of energy.		
square metres	m2	"square meter, meter2, metre squared, meter squared"	1 m2	A <b>square metre<b> is the SI standard measure of area. It is used by scientists.		
million hectares	Mha		1e6 ha	A <b>million hectares</b> is a metric measure of area. It is used when referring to country sized areas of land.		
hectares	ha		100 ares	A <b>hectare</b> is a metric measure of area. It is used when referring to areas of land.		
ares	a		100 m2	"The <b>are</b> is a metric unit of area, equal to 100 square meters, used for measuring land area. It was defined by older forms of the metric system, but is now outside of the modern International System (SI). It is commonly used to measure real estate, in particular in Indonesia and in French-, Portuguese-, Slovakian-, Czech-, Polish-, Dutch-, and German-speaking countries and also in India. Sotka is the Russian name. Source: <a href='http://en.wikipedia.org/wiki/Hectare'>Wikipedia</a>."		
petagrams of carbon	PgC		1e15 gC	"The traditional measure of greenhouse gas quantity, when considered at a global scale"		
grams of carbon	gC		1 gC	"The fundamental unit of measure of greenhouse gas quantity, but too small for practical use."		
grams of carbon dioxide equivalent	gCO2e	gCO2	0.27272727272727272727272727 gC	"A measure of greenhouse gas quantity. There is some debate about the right factor to use when converting to this value from other greenhouse gases (e.g., methane). "		
kilograms of carbon dioxide equivalent	kgCO2e	kgCO2	1000 gCO2e	"A measure of greenhouse gas quantity. There is some debate about the right factor to use when converting to this value from other greenhouse gases (e.g., methane). "		
tonnes of carbon dioxide equivalent	tCO2e	tCO2	1000 kgCO2e	"A measure of greenhouse gas quantity. There is some debate about the right factor to use when converting to this value from other greenhouse gases (e.g., methane). "		
